Test00, Exch0Lit, 100.075,141,1,ZIP,ZIP, {'party2': 'B27', 'party1': 'S01', 'price': 141, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.07500000001419, 'type': 'Trade'}
Test00, Exch0Lit, 100.1,118,1,AA,GDX, {'party2': 'B05', 'party1': 'S13', 'price': 118, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.10000000001419, 'type': 'Trade'}
Test00, Exch0Lit, 100.1625,118,1,GDX,GDX, {'party2': 'B18', 'party1': 'S15', 'price': 118, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.1625000000142, 'type': 'Trade'}
Test00, Exch0Lit, 100.2,139,1,ZIP,GDX, {'party2': 'B08', 'party1': 'S32', 'price': 139, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.20000000001421, 'type': 'Trade'}
Test00, Exch0Lit, 100.2125,102,1,ZIC,GDX, {'party2': 'B24', 'party1': 'S26', 'price': 102, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.21250000001422, 'type': 'Trade'}
Test00, Exch0Lit, 100.2375,139,1,ZIP,GDX, {'party2': 'B22', 'party1': 'S35', 'price': 139, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.23750000001422, 'type': 'Trade'}
Test00, Exch0Lit, 100.325,50,1,AA,GDX, {'party2': 'B35', 'party1': 'S08', 'price': 50, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.32500000001424, 'type': 'Trade'}
Test00, Exch0Lit, 100.35,53,1,AA,ZIP, {'party2': 'B02', 'party1': 'S25', 'price': 53, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.35000000001425, 'type': 'Trade'}
Test00, Exch0Lit, 100.3875,54,1,GDX,ZIP, {'party2': 'B36', 'party1': 'S29', 'price': 54, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.38750000001426, 'type': 'Trade'}
Test00, Exch0Lit, 100.4,54,1,ZIC,ZIP, {'party2': 'B37', 'party1': 'S11', 'price': 54, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.40000000001426, 'type': 'Trade'}
Test00, Exch0Lit, 100.45,82,1,AA,AA, {'party2': 'B14', 'party1': 'S05', 'price': 82, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.45000000001427, 'type': 'Trade'}
Test00, Exch0Lit, 100.4625,87,1,ZIP,ZIC, {'party2': 'B01', 'party1': 'S07', 'price': 87, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.46250000001427, 'type': 'Trade'}
Test00, Exch0Lit, 100.4875,105,1,ZIP,AA, {'party2': 'B39', 'party1': 'S24', 'price': 105, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.48750000001428, 'type': 'Trade'}
Test00, Exch0Lit, 100.675,143,1,ZIP,ZIP, {'party2': 'B11', 'party1': 'S14', 'price': 143, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.67500000001432, 'type': 'Trade'}
Test00, Exch0Lit, 100.7,145,1,ZIC,ZIC, {'party2': 'B34', 'party1': 'S20', 'price': 145, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.70000000001433, 'type': 'Trade'}
Test00, Exch0Lit, 100.7625,142,1,GDX,ZIP, {'party2': 'B10', 'party1': 'S27', 'price': 142, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.76250000001434, 'type': 'Trade'}
Test00, Exch0Lit, 100.8125,144,1,GDX,AA, {'party2': 'B38', 'party1': 'S38', 'price': 144, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.81250000001435, 'type': 'Trade'}
Test00, Exch0Lit, 100.8875,146,1,GDX,ZIC, {'party2': 'B04', 'party1': 'S09', 'price': 146, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.88750000001437, 'type': 'Trade'}
Test00, Exch0Lit, 100.9,144,1,GDX,AA, {'party2': 'B09', 'party1': 'S34', 'price': 144, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.90000000001437, 'type': 'Trade'}
Test00, Exch0Lit, 100.925,142,1,ZIC,AA, {'party2': 'B00', 'party1': 'S03', 'price': 142, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 100.92500000001438, 'type': 'Trade'}
Test00, Exch0Lit, 101.0,142,1,AA,AA, {'party2': 'B29', 'party1': 'S10', 'price': 142, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.0000000000144, 'type': 'Trade'}
Test00, Exch0Lit, 101.1,140,1,GDX,ZIP, {'party2': 'B28', 'party1': 'S39', 'price': 140, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.10000000001442, 'type': 'Trade'}
Test00, Exch0Lit, 101.1875,142,1,AA,ZIC, {'party2': 'B06', 'party1': 'S18', 'price': 142, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.18750000001444, 'type': 'Trade'}
Test00, Exch0Lit, 101.3625,150,1,ZIP,AA, {'party2': 'B03', 'party1': 'S33', 'price': 150, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.36250000001448, 'type': 'Trade'}
Test00, Exch0Lit, 101.6375,148,1,ZIP,AA, {'party2': 'B31', 'party1': 'S28', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.63750000001454, 'type': 'Trade'}
Test00, Exch0Lit, 101.65,148,1,AA,ZIP, {'party2': 'B26', 'party1': 'S19', 'price': 148, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.65000000001454, 'type': 'Trade'}
Test00, Exch0Lit, 101.675,146,1,AA,GDX, {'party2': 'B21', 'party1': 'S04', 'price': 146, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.67500000001455, 'type': 'Trade'}
Test00, Exch0Lit, 101.7625,144,1,AA,ZIC, {'party2': 'B15', 'party1': 'S36', 'price': 144, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.76250000001457, 'type': 'Trade'}
Test00, Exch0Lit, 101.975,142,1,GDX,ZIP, {'party2': 'B32', 'party1': 'S06', 'price': 142, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 101.97500000001462, 'type': 'Trade'}
Test00, Exch0Lit, 102.0875,142,1,ZIP,GDX, {'party2': 'B33', 'party1': 'S21', 'price': 142, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.08750000001464, 'type': 'Trade'}
Test00, Exch0Lit, 102.5,140,1,GDX,ZIC, {'party2': 'B16', 'party1': 'S31', 'price': 140, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 102.50000000001474, 'type': 'Trade'}
Test00, Exch0Lit, 103.0375,139,1,ZIP,ZIC, {'party2': 'B30', 'party1': 'S23', 'price': 139, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.03750000001486, 'type': 'Trade'}
Test00, Exch0Lit, 103.0875,94,1,ZIC,ZIP, {'party2': 'B23', 'party1': 'S16', 'price': 94, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.08750000001487, 'type': 'Trade'}
Test00, Exch0Lit, 103.3625,146,1,AA,GDX, {'party2': 'B20', 'party1': 'S30', 'price': 146, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.36250000001493, 'type': 'Trade'}
Test00, Exch0Lit, 103.375,145,1,ZIC,AA, {'party2': 'B19', 'party1': 'S17', 'price': 145, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.37500000001494, 'type': 'Trade'}
Test00, Exch0Lit, 103.65,145,1,ZIC,GDX, {'party2': 'B07', 'party1': 'S22', 'price': 145, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 103.650000000015, 'type': 'Trade'}
Test00, Exch0Lit, 105.7875,96,1,GDX,ZIC, {'party2': 'B17', 'party1': 'S37', 'price': 96, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 105.78750000001548, 'type': 'Trade'}
Test00, Exch0Lit, 106.1,105,1,ZIC,ZIC, {'party2': 'B13', 'party1': 'S00', 'price': 105, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 106.10000000001556, 'type': 'Trade'}
Test00, Exch0Lit, 112.7375,131,1,ZIC,AA, {'party2': 'B12', 'party1': 'S12', 'price': 131, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 112.73750000001706, 'type': 'Trade'}
Test00, Exch0Lit, 120.4875,110,1,ZIC,ZIC, {'party2': 'B25', 'party1': 'S02', 'price': 110, 'pool_id': 'Exch0Lit', 'qty': 1, 'time': 120.48750000001883, 'type': 'Trade'}
