S20, 5
S20, Blotteritem, {'party2': 'B26', 'party1': 'S20', 'price': 102.33882030178326, 'qty': 1, 'time': 480.23749999970016, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B21', 'price': 103.0, 'qty': 1, 'time': 490.337499999691, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B22', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 550.7624999998122, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'S20', 'party1': 'B21', 'price': 103.0, 'qty': 1, 'time': 565.5124999998659, 'type': 'Trade'}
S20, Blotteritem, {'party2': 'B23', 'party1': 'S20', 'price': 101.0, 'qty': 1, 'time': 581.2749999999232, 'type': 'Trade'}
S39, 0
S03, 4
S03, Blotteritem, {'party2': 'S03', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 481.47499999969904, 'type': 'Trade'}
S03, Blotteritem, {'party2': 'B31', 'party1': 'S03', 'price': 96.27222222222221, 'qty': 1, 'time': 507.8249999996751, 'type': 'Trade'}
S03, Blotteritem, {'party2': 'B24', 'party1': 'S03', 'price': 100.0, 'qty': 1, 'time': 537.1499999997627, 'type': 'Trade'}
S03, Blotteritem, {'party2': 'B20', 'party1': 'S03', 'price': 86.0, 'qty': 1, 'time': 542.5124999997822, 'type': 'Trade'}
S32, 0
S24, 14
S24, Blotteritem, {'party2': 'B28', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 26.49999999999903, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B37', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 93.0875000000126, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B29', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 143.61250000000632, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B28', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 199.63749999995537, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B32', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 210.9249999999451, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B28', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 243.4749999999155, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B29', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 267.28749999989384, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B32', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 279.1249999998831, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B37', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 319.3624999998465, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B36', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 340.1124999998276, 'type': 'Trade'}
S24, Blotteritem, {'party2': 'B32', 'party1': 'S24', 'price': 111.0, 'qty': 1, 'time': 391.09999999978123, 'type': 'Trade'}
